INVOICE_NUMBER,DATE,VENDOR_NUMBER,VENDORNAME,INVOICE_DESCRIPTION,ACCOUNT_DESCRIPTION,DEPTNAME,DEPTNUM,SUBDEPTNAME,SUBDEPTNUM,FYR,AMOUNT
1ST QTR 2015,31-OCT-14,2224,REGIONAL TRANSPORTATION COMM,FEES,"STREET IMPACT FEE FUND-Due to RTC, impact fees",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,13762.4
2015-00001916,31-OCT-14,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. DALLAS NICHOLSON,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,500
2015-00001911,31-OCT-14,9999999999,TEMP,657798-001,SANITARY SEWER O/M FUND-Sewer Refunds Payable,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,143.71
2015-00001915,31-OCT-14,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,793
2015-00001925,31-OCT-14,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,47
2015-00001920,31-OCT-14,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1192
2015-00001923,31-OCT-14,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,500
2015-00001924,31-OCT-14,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,373
1403042-SL,31-OCT-14,9999999999,TEMP,653182-001,SANITARY SEWER O/M FUND-Sewer Refunds Payable,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,113.88
2015-00001922,31-OCT-14,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. MIGUEL ESPARZA,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,350
2015-00001918,31-OCT-14,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,982
2015-00001926,31-OCT-14,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. HAKIM BEY,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,175
2015-00001919,31-OCT-14,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. ANDRES PINEDA FLORES,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,780
2015-00001914,31-OCT-14,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. VANESSA SANCHEZ,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,500
2015-00001912,31-OCT-14,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. BRIANA JEAN MARTIN,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,415
2015-00001921,31-OCT-14,9999999999,TEMP,BAIL REFUND CITY OF RENO VS. SARAH MARIE WALCH,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1355
2015-00001917,31-OCT-14,9999999999,TEMP,"BAIL REFUND CITY OF RENO VS. STEVEN PAUL DIXON, SR.","GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,3000
351694,31-OCT-14,9999999999,TEMP,"REFUND, RENTALS","GENERAL FUND-Deposit, Bldgs/Alcohol Permits",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,500
APPLICATION #4,31-OCT-14,6334,,CONTRACTORS,"SANITARY SEWER CAPITAL PROJECTS-Contracts payable, retained %",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,-1826.96
APPLICATION #4,31-OCT-14,6334,,CONTRACTORS,"SANITARY SEWER O/M FUND-Contracts payable, retained %",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,-7307.84
WE 10/31/14,31-OCT-14,6043,,FLEX SPENDING - COR,GENERAL FUND-Flex Spend Acct-City,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,5125.73
COSBL-10-30-2014,30-OCT-14,5334,,BL COLLECTIONS FOR SPARKS,GENERAL FUND-Due to Sparks - Business License Fees,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,840
"OCTOBER, 2014",31-OCT-14,26205,GEORGESON,CIVIL SERVICE PAYMENT,GENERAL FUND-Civil Service-Workforce Planning-Development-Miscellaneous operating expense,Civil Service,0620,Civil Service-Workforce Planning-Development,0620-0650,Fiscal 14/15,50
"OCTOBER, 2014",31-OCT-14,4846,MARTINEZ,CIVIL SERVICE PAYMENT,GENERAL FUND-Civil Service-Workforce Planning-Development-Miscellaneous operating expense,Civil Service,0620,Civil Service-Workforce Planning-Development,0620-0650,Fiscal 14/15,50
"OCTOBER, 2014",31-OCT-14,16248,MULLINS BERTHA,CIVIL SERVICE PAYMENT,GENERAL FUND-Civil Service-Workforce Planning-Development-Miscellaneous operating expense,Civil Service,0620,Civil Service-Workforce Planning-Development,0620-0650,Fiscal 14/15,50
750972,31-OCT-14,25331,OFFICEMAX,OFFICE SUPPLIES,GENERAL FUND-Civil Service-Workforce Planning-Development-Supplies,Civil Service,0620,Civil Service-Workforce Planning-Development,0620-0650,Fiscal 14/15,95.79
PR73177,31-OCT-14,17179,CDW-G GOVERNMENT INC,"COMPUTERS, Supplies",GENERAL FUND-Communications & Technology-Dispatch-Supplies,Communications and Technology,1700,Communications & Technology-Dispatch,1700-1710,Fiscal 14/15,115.4
2015-00001952,31-OCT-14,6792,CHARTER COMMUNICATIONS,CABLE TELEVISION,GENERAL FUND-Communications & Technology-Dispatch-Outside services-other,Communications and Technology,1700,Communications & Technology-Dispatch,1700-1710,Fiscal 14/15,40.79
123357,31-OCT-14,2724,JOHNSON ROBERTS & ASSOC,PERSONNEL/HIRING COSTS,GENERAL FUND-Communications & Technology-Dispatch-Outside services-other,Communications and Technology,1700,Communications & Technology-Dispatch,1700-1710,Fiscal 14/15,98.5
123381,31-OCT-14,2724,JOHNSON ROBERTS & ASSOC,PERSONNEL/HIRING COSTS,GENERAL FUND-Communications & Technology-Dispatch-Outside services-other,Communications and Technology,1700,Communications & Technology-Dispatch,1700-1710,Fiscal 14/15,50
082185717,31-OCT-14,15702,SHRED-IT,RECORD STORAGE - DOCUMENT DESTRUCTION,GENERAL FUND-Communications & Technology-Dispatch-Outside services-other,Communications and Technology,1700,Communications & Technology-Dispatch,1700-1710,Fiscal 14/15,39
2015-00001954,31-OCT-14,428,AT&T,"UTILITIES, TELEPHONE",GENERAL FUND-Communications & Technology-Technology-Communication,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,2413.99
2015-00001951,31-OCT-14,6792,CHARTER COMMUNICATIONS,CABLE/WIRE/FIBER OPTICS,GENERAL FUND-Communications & Technology-Technology-Communication,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,9991.16
XJD3R7WP2,31-OCT-14,8855,DELL COMPUTER CORP,"COMPUTERS, Maintenance Contracts",GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,518.24
2-793-15694,31-OCT-14,893,FEDERAL EXPRESS CORP,FREIGHT/SHIPPING,GENERAL FUND-Communications & Technology-Technology-Communication,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,5.76
975050949,31-OCT-14,253,GRAYBAR ELECTRIC CO INC,"COMPUTERS, Supplies",GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,53.71
974996752,31-OCT-14,253,GRAYBAR ELECTRIC CO INC,"COMPUTERS, Supplies",GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,85.84
383812,31-OCT-14,25331,OFFICEMAX,OFFICE SUPPLIES,GENERAL FUND-Communications & Technology-Technology-Supplies,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,50.1
1815000649,31-OCT-14,27942,WASHOE COUNTY TREASURER,1 QTR PS ALI,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,5.4
1815000616,31-OCT-14,27942,WASHOE COUNTY TREASURER,FY15-OCT 800MHZ,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,21225.89
2015-00001948,31-OCT-14,5078,ZAYO BANDWIDTH LLC,INTERNET SERVICES,GENERAL FUND-Communications & Technology-Technology-Outside services-other,Communications and Technology,1700,Communications & Technology-Systems & Programming,1700-1780,Fiscal 14/15,1969.67
PN42351,31-OCT-14,17179,CDW-G GOVERNMENT INC,"COMPUTERS, Software",BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Supplies,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,144.5
2015-00001949,31-OCT-14,515,PETTY CASH-CENTRAL CASHIERING,PETTY CASH,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Miscellaneous operating expense,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,180.78
83168,31-OCT-14,44838,SAM'S SPARKLE SHOP,"VEHICLES, Car Washes",BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Miscellaneous operating expense,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,100
0914115,31-OCT-14,9969,THE PIN CENTER,ADVERTISING/PROMOTIONAL SERVICES,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Miscellaneous operating expense,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,2045
10/17/14,31-OCT-14,4379,KLOOS,"REFUND, EMPLOYEES",GENERAL FUND-Community Development-Land Use Planning-Employee training/travel,Community Development,0700,Community Development-Land Use Planning,0700-0755,Fiscal 14/15,40.32
10/23/14,31-OCT-14,4379,KLOOS,"REFUND, EMPLOYEES",GENERAL FUND-Community Development-Land Use Planning-Employee training/travel,Community Development,0700,Community Development-Land Use Planning,0700-0755,Fiscal 14/15,11.2
8667,31-OCT-14,6438,,PROFESSIONAL SERVICES,GENERAL FUND-Community Development-Land Use Planning-Outside services-other,Community Development,0700,Community Development-Land Use Planning,0700-0755,Fiscal 14/15,415
TITUS GETER,31-OCT-14,1899,PARK MANOR APARTMENTS,Home Grants,HOME PROGRAM-Community Development-Non-Departmental-HOME projects,Community Development,0700,Community Development-Non-Departmental,0700-9999,Fiscal 14/15,300
504,31-OCT-14,6120,,Community Development Block Grants,COMMUNITY DEVELOPMENT BLK GRANTS-Community Development-Non-Departmental-Public works & facilities-CD Public works & facilities-CD,Community Development,0700,Community Development-Non-Departmental,0700-9999,Fiscal 14/15,14011
PN42351,31-OCT-14,17179,CDW-G GOVERNMENT INC,"COMPUTERS, Software",GENERAL FUND-Community Development-Business License-Supplies,Community Development,0700,Community Development-Revenue Collections,0700-0450,Fiscal 14/15,144.5
170124000BO-REV,31-OCT-14,5834,,DEBT SERVICE PAYMENTS-CAP LEASES,GENERAL FUND-Debt Service-Non-Departmental-Interest-other financing,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,-16.56
170124000BO-REV,31-OCT-14,5834,,DEBT SERVICE PAYMENTS-CAP LEASES,GENERAL FUND-Debt Service-Non-Departmental-Principal-other financing,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,1006.84
41142,31-OCT-14,1108,NEVADA PRESORT & MAIL MARKETING,Postage - rejects from presort,GENERAL FUND-Finance-Financial Management-Miscellaneous operating expense,Finance,0400,Finance-Accounting,0400-0410,Fiscal 14/15,7.07
2-824-14551,31-OCT-14,893,FEDERAL EXPRESS CORP,FREIGHT/SHIPPING,SANITARY SEWER O/M FUND-Finance-Sewer Collections-Communication,Finance,0400,Finance-Sewer Collections,0400-0455,Fiscal 14/15,15.09
2197,31-OCT-14,5782,,PROFESSIONAL SERVICES,SANITARY SEWER O/M FUND-Finance-Sewer Collections-Outside services-other,Finance,0400,Finance-Sewer Collections,0400-0455,Fiscal 14/15,3701.41
9921778439,31-OCT-14,6490,AIRGAS INC,HAZMAT,GENERAL FUND-Fire-Emergency Operations-Supplies to be tracked - Haz Mat,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,34.92
9921778438,31-OCT-14,6490,AIRGAS INC,HAZMAT,GENERAL FUND-Fire-Emergency Operations-Supplies to be tracked - Haz Mat,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,39.15
2015-00001954,31-OCT-14,428,AT&T,"UTILITIES, TELEPHONE",GENERAL FUND-Fire-Emergency Operations-Communication,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,261.86
2015-00001962,31-OCT-14,428,AT&T,"UTILITIES, TELEPHONE",GENERAL FUND-Fire-Emergency Operations-Communication,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,68.62
2015-00001964,31-OCT-14,428,AT&T,"UTILITIES, TELEPHONE",GENERAL FUND-Fire-Emergency Operations-Communication,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,35.54
9210,31-OCT-14,6816,FITNESS2GO,FITNESS EQUIPMENT,GENERAL FUND-Fire-Emergency Operations-Outside services-other,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,60
688505,31-OCT-14,1224,LIFE ASSIST INC,Medical Supplies,GENERAL FUND-Fire-Emergency Operations-Supplies,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,1126.66
00561951_SNV,31-OCT-14,1818,MUNICIPAL EMERGENCY SERVICES INC,FIRE SUPPRESSION SUPPLIES,GENERAL FUND-Fire-Emergency Operations-Supplies,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,296.56
00562899_SNV,31-OCT-14,1818,MUNICIPAL EMERGENCY SERVICES INC,Turn Outs,GENERAL FUND-Fire-Emergency Operations-Supplies-to be tracked,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,9400
00562899_SNV,31-OCT-14,1818,MUNICIPAL EMERGENCY SERVICES INC,Turn Outs,GENERAL FUND-Fire-Emergency Operations-Supplies-to be tracked,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,13720
2065666,31-OCT-14,628,SIERRA WELDING SUPPLY,FIRST AID/SAFETY SUPPLIES,GENERAL FUND-Fire-Emergency Operations-Supplies,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,120
9207258,31-OCT-14,628,SIERRA WELDING SUPPLY,FIRST AID/SAFETY SUPPLIES,GENERAL FUND-Fire-Emergency Operations-Supplies,Fire,0900,Fire-Emergency Operations,0900-0920,Fiscal 14/15,29.7
18448,31-OCT-14,2923,AUTO & TRUCK ELECTRIC,AUTOMOTIVE REPAIR PARTS,GENERAL FUND-Fire-Fleet Management-Supplies,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,60
030-81984,31-OCT-14,146,CUMMINS ROCKY MOUTAIN LLC,AUTOMOTIVE REPAIR PARTS,GENERAL FUND-Fire-Fleet Management-Supplies,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,68.76
14-014341A,31-OCT-14,5317,FLYERS ENERGY LLC,FUELS/GAS/DIESEL/PROPANE,GENERAL FUND-Fire-Fleet Management-Supplies-m.v. fuel,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,2745.53
PPE 101614,24-OCT-14,799,IRS/ PAYROLL TAXES,ADP PAYROLL - VENDORS PD BY EFT,GENERAL FUND-Federal income tax withheld,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,462365.85
CFS0892643,31-OCT-14,5317,FLYERS ENERGY LLC,FUELS/GAS/DIESEL/PROPANE,GENERAL FUND-Fire-Fleet Management-Supplies-m.v. fuel,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,117.16
14-014767,31-OCT-14,5317,FLYERS ENERGY LLC,FUELS/GAS/DIESEL/PROPANE,GENERAL FUND-Fire-Fleet Management-Supplies-m.v. fuel,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,4774.81
14-015388,31-OCT-14,5317,FLYERS ENERGY LLC,FUELS/GAS/DIESEL/PROPANE,GENERAL FUND-Fire-Fleet Management-Supplies-m.v. fuel,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,1271.92
14-015389,31-OCT-14,5317,FLYERS ENERGY LLC,FUELS/GAS/DIESEL/PROPANE,GENERAL FUND-Fire-Fleet Management-Supplies-m.v. fuel,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,2455.61
517502,31-OCT-14,9727,NAPA AUTO & TRUCK PARTS,AUTOMOTIVE MAINTENANCE SUPPLIES,GENERAL FUND-Fire-Fleet Management-Supplies,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,8.98
01-344830,31-OCT-14,4709,"R&E FASTENERS, INC.",AUTOMOTIVE SHOP EQUIPMENT,GENERAL FUND-Fire-Fleet Management-Supplies,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,35.15
00102436,31-OCT-14,4165,ROSS EQUIPMENT CO,AUTOMOTIVE REPAIR PARTS,GENERAL FUND-Fire-Fleet Management-Supplies,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,180.92
SP280097,31-OCT-14,204,SILVER STATE INTERNATIONAL INC.,AUTOMOTIVE REPAIR PARTS,GENERAL FUND-Fire-Fleet Management-Supplies,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,137.37
2919992,31-OCT-14,616,"SMITH POWER PRODUCTS, INC.",AUTOMOTIVE REPAIR PARTS,GENERAL FUND-Fire-Fleet Management-Supplies,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,106.9
2919991,31-OCT-14,616,"SMITH POWER PRODUCTS, INC.",AUTOMOTIVE REPAIR PARTS,GENERAL FUND-Fire-Fleet Management-Supplies,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,27.11
2919496,31-OCT-14,616,"SMITH POWER PRODUCTS, INC.",AUTOMOTIVE REPAIR PARTS,GENERAL FUND-Fire-Fleet Management-Supplies,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,83.54
51176,31-OCT-14,1527,WAVE CAR WASH,"VEHICLES, Car Washes",GENERAL FUND-Fire-Fleet Management-Outside services-other,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,12.8
2569-314653,31-OCT-14,5707,,AUTOMOTIVE REPAIR PARTS,GENERAL FUND-Fire-Fleet Management-Supplies,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,21.28
41311,31-OCT-14,3647,CUSTOM GLASS DIST INC,"BUILDING MAINTENANCE, Glass Replacement",GENERAL FUND-Fire-Program & Service Management-Miscellaneous operating expense,Fire,0900,Fire-Program & Service Management,0900-0001,Fiscal 14/15,1082
63835,31-OCT-14,1615,"NETVAD, INC.",HP 2530 48G POE for Fire,GENERAL FUND-Fire-Program & Service Management-Communication,Fire,0900,Fire-Program & Service Management,0900-0001,Fiscal 14/15,3375
63835,31-OCT-14,1615,"NETVAD, INC.",HP 2530 48G POE for Fire,GENERAL FUND-Fire-Program & Service Management-Communication,Fire,0900,Fire-Program & Service Management,0900-0001,Fiscal 14/15,25
7661222 101014,31-OCT-14,623,ALHAMBRA AND SIERRA SPRINGS,PROFESSIONAL SERVICES,GENERAL FUND-Human Resources-Employee Services-Outside services-other,Human Resources,0600,Human Resources-Employee Services,0600-0675,Fiscal 14/15,40.05
REQ WK 10/30/14,31-OCT-14,5192,HOMETOWN HEALTH PROVIDERS INS CO,14ATH0951DF51R32,HHP SELF FUNDED MEDICAL FUND-Human Resources-Insurance Management-Outside services-other,Human Resources,0600,Human Resources-Insurance Management,0600-0690,Fiscal 14/15,747.47
REQ WK 10/30/14,31-OCT-14,5192,HOMETOWN HEALTH PROVIDERS INS CO,14ATH0951DF51R32,HHP SELF FUNDED MEDICAL FUND-Human Resources-Insurance Management-Claims-payments,Human Resources,0600,Human Resources-Insurance Management,0600-0690,Fiscal 14/15,161337.77
0083685-IN,31-OCT-14,3937,CANNON COCHRAN MANAGEMENT SERVICES INC,PROFESSIONAL SERVICES,WORKERS COMP SELF FUNDED -Human Resources-Workers Compensation-Outside services-other,Human Resources,0600,Human Resources-Workers Compensation-Safety,0600-0360,Fiscal 14/15,20875
0008530-IN,31-OCT-14,3937,CANNON COCHRAN MANAGEMENT SERVICES INC,14ATB31342040TS7,WORKERS COMP SELF FUNDED -Human Resources-Workers Compensation-Claims-payments,Human Resources,0600,Human Resources-Workers Compensation-Safety,0600-0360,Fiscal 14/15,32662.51
2015-00001946,31-OCT-14,622,NV ENERGY,UTILITIES,GENERAL FUND-Intergovernmental-Non-Departmental-Public utility service,Intergovernmental,1600,Intergovernmental-Non-Departmental,1600-9999,Fiscal 14/15,9731.93
2015-00001956,31-OCT-14,622,NV ENERGY,UTILITIES,GENERAL FUND-Intergovernmental-Non-Departmental-Public utility service,Intergovernmental,1600,Intergovernmental-Non-Departmental,1600-9999,Fiscal 14/15,33629.24
2015-00001947,31-OCT-14,8277,TMWA,"UTILITIES, Water",GENERAL FUND-Intergovernmental-Non-Departmental-Public utility service,Intergovernmental,1600,Intergovernmental-Non-Departmental,1600-9999,Fiscal 14/15,2955.57
1819,31-OCT-14,4295,"INTERCEPT, LLC",PROFESSIONAL SERVICES,GENERAL FUND-Municipal Court-Judicial Proceedings-Miscellaneous operating expense,Municipal Court,1100,Municipal Court-Judicial Proceedings,1100-1160,Fiscal 14/15,180
11844920149,31-OCT-14,4882,"REDWOOD TOXICOLOGY LABORATORY, INC.",MEDICAL/DENTAL SERVICES,GENERAL FUND-Municipal Court-Judicial Proceedings-Miscellaneous operating expense,Municipal Court,1100,Municipal Court-Judicial Proceedings,1100-1160,Fiscal 14/15,130
11844920149,31-OCT-14,4882,"REDWOOD TOXICOLOGY LABORATORY, INC.",MEDICAL/DENTAL SERVICES,GENERAL FUND-Municipal Court-Judicial Proceedings-Miscellaneous operating expense,Municipal Court,1100,Municipal Court-Judicial Proceedings,1100-1160,Fiscal 14/15,240
